250,2,1.5,1.4,0.6,1,12.35,12604,12159
50,2,1.5,1.4,1,1,0.51,16883,13057
250,3,0.7,1,1.4,6,15.29,1.15746e+08,225
50,2.5,0.7,1,1.4,2,1.24,496278,185
250,3,0.7,1.4,1.4,2,16.66,162,109
50,3,1.5,0.6,1,1,2.37,1.09857e+06,780510
250,2,0.7,0.6,0.6,4,29.66,139617,189
50,2.5,1.5,1,1.4,6,8.7,2.0176e+07,259
50,3,1.5,1.4,1,1,0.5,780510,702524
250,2.5,0.7,1,0.6,6,8.76,1.03968e+07,206
250,2,0.7,1.4,1,2,17.2,191,132
250,2.5,0.7,0.6,1,2,3.55,264004,143
50,3,1.5,1,1.4,2,3.27,2.73928e+06,864064
50,2.5,0.7,1,1.4,4,1.21,5.19379e+06,195
250,3,0.7,0.6,1.4,6,9.26,3.66236e+08,221
250,3,0.7,0.6,1.4,4,28.69,2.46528e+06,145
50,2.5,0.7,1.4,0.6,1,2.11,31144,31144
250,2.5,1.5,1,1.4,1,4.39,41678.5,31144
250,2.5,1.5,1,1,1,2.61,98178.6,98178.6
250,3,1.5,1.4,0.6,2,7.19,2.37284e+06,173
50,2.5,1.5,1,1.4,6,3.1,2.29952e+07,1.2126e+07
250,2.5,1.5,1.4,0.6,2,19.41,148658,154
50,3,0.7,1.4,1.4,2,0.69,153,153
250,3,0.7,1,1.4,2,18.67,1.56096e+06,115
250,2.5,1.5,1.4,1.4,6,42.13,5.29866e+06,226
250,2.5,0.7,1,1,4,31.75,2.22719e+06,219
250,2,1.5,1.4,0.6,1,4.77,7443,5224
50,2,0.7,1.4,0.6,2,3.08,50015,5224
250,2,1.5,0.6,1,4,6.58,78255,236
250,2.5,1.5,1,0.6,2,3.94,131140,164
50,3,0.7,0.6,0.6,4,1.27,8.58689e+06,221
250,3,1.5,1.4,1.4,1,10.96,702524,355959
250,2,1.5,1,1.4,6,17.28,320208,270
50,2,1.5,0.6,1,4,1.41,214557,44311
50,2,1.5,0.6,1,1,0.52,16452,16452
50,2,1.5,1.4,1,2,1.39,31777,199
50,3,0.7,0.6,1.4,2,1.33,192,123
50,2.5,1.5,0.6,0.6,6,1.75,1.65215e+07,322
50,2,1.5,0.6,1.4,2,3.53,47621,13987
250,3,0.7,0.6,1,1,2.32,470649,186664
250,2,1.5,0.6,0.6,1,2.75,12604,12604
250,2,0.7,0.6,1.4,4,27.75,92621,130
50,3,1.5,1.4,0.6,6,1.86,2.71181e+08,4.66564e+07
250,2.5,0.7,1,1,6,14.91,7.79405e+06,176027
250,2,0.7,1.4,1,2,3.52,8514,175
250,2.5,0.7,1,1.4,1,3.9,93930.7,89795
250,2,0.7,0.6,1,1,10.64,12604,12159
50,2.5,0.7,0.6,1.4,1,2.15,147047,89795
250,3,0.7,1,0.6,1,4.02,740833,511154
50,3,0.7,0.6,1.4,1,0.78,926027,665559
50,2.5,0.7,1.4,1.4,4,1.16,1.04829e+06,169980
250,2.5,1.5,1.4,1,1,4.34,31144,31144
50,2,1.5,1.4,1.4,6,3.18,1.23584e+06,273
250,2.5,1.5,1.4,0.6,6,45.49,4.46886e+06,227
